"","DOI","metric","value","year","journal","journal2"
"2044","10.1046/j.1365-2656.2000.00367.x","Mendeley_readers",81,2000,"Journal of Animal Ecology","J Anim Ecol"
"2045","10.1046/j.1365-2656.2000.00367.x","Mendeley_groups",3,2000,"Journal of Animal Ecology","J Anim Ecol"
"2046","10.1111/j.1365-2656.2004.00894.x","Mendeley_groups",2,2004,"Journal of Animal Ecology","J Anim Ecol"
"2047","10.1111/j.1365-2656.2004.00894.x","Mendeley_readers",73,2004,"Journal of Animal Ecology","J Anim Ecol"
"2048","10.1111/j.1365-2656.2011.01806.x","Mendeley_groups",4,2011,"Journal of Animal Ecology","J Anim Ecol"
"2049","10.1111/j.1365-2656.2011.01806.x","CiteULike_bookmarks",2,2011,"Journal of Animal Ecology","J Anim Ecol"
"2050","10.1111/j.1365-2656.2011.01806.x","Mendeley_readers",33,2011,"Journal of Animal Ecology","J Anim Ecol"
"2051","10.1111/j.0021-8790.2004.00818.x","Mendeley_readers",24,2004,"Journal of Animal Ecology","J Anim Ecol"
"2052","10.1111/j.0021-8790.2004.00818.x","Mendeley_readers",24,2004,"Journal of Animal Ecology","J Anim Ecol"
"2053","10.1111/j.0021-8790.2004.00818.x","Mendeley_readers",24,2004,"Journal of Animal Ecology","J Anim Ecol"
"2054","10.1111/j.0021-8790.2004.00818.x","Mendeley_readers",24,2004,"Journal of Animal Ecology","J Anim Ecol"
"2055","10.1111/j.0021-8790.2004.00818.x","CiteULike_bookmarks",1,2004,"Journal of Animal Ecology","J Anim Ecol"
"2056","10.1111/j.0021-8790.2004.00818.x","CiteULike_bookmarks",1,2004,"Journal of Animal Ecology","J Anim Ecol"
"2057","10.1111/j.0021-8790.2004.00818.x","CiteULike_bookmarks",1,2004,"Journal of Animal Ecology","J Anim Ecol"
"2058","10.1111/j.0021-8790.2004.00818.x","CiteULike_bookmarks",1,2004,"Journal of Animal Ecology","J Anim Ecol"
"2059","10.1046/j.1365-2656.1999.00266.x","Mendeley_readers",10,1999,"Journal of Animal Ecology","J Anim Ecol"
"2060","10.1111/j.1365-2656.2010.01777.x","Mendeley_groups",2,2011,"Journal of Animal Ecology","J Anim Ecol"
"2061","10.1111/j.1365-2656.2010.01777.x","Mendeley_readers",48,2011,"Journal of Animal Ecology","J Anim Ecol"
"2062","10.1111/j.1365-2656.2010.01738.x","Mendeley_readers",45,2010,"Journal of Animal Ecology","J Anim Ecol"
"2063","10.1111/j.1365-2656.2010.01734.x","Mendeley_groups",1,2010,"Journal of Animal Ecology","J Anim Ecol"
"2064","10.1111/j.1365-2656.2010.01734.x","Mendeley_readers",45,2010,"Journal of Animal Ecology","J Anim Ecol"
